K,f_locked,n_distinct_ratios,efficiency,marginal_gain
0.308271,0.115000,9,29.195122,0.000000
0.310777,0.120000,13,41.830645,1596.000000
0.313283,0.125000,17,54.264000,1596.000000
0.315789,0.120000,11,34.833333,-2394.000000
0.318296,0.122500,13,40.842520,798.000000
0.320802,0.125000,15,46.757812,798.000000
0.323308,0.125000,13,40.209302,-798.000000
0.325815,0.127500,15,46.038462,798.000000
0.328321,0.127500,15,45.687023,0.000000
0.330827,0.130000,15,45.340909,0.000000
0.333333,0.127500,11,33.000000,-1596.000000
0.335840,0.127500,11,32.753731,0.000000
0.338346,0.130000,11,32.511111,0.000000
0.340852,0.125000,7,20.536765,-1596.000000
0.343358,0.130000,9,26.211679,798.000000
0.345865,0.132500,11,31.804348,798.000000
0.348371,0.132500,9,25.834532,-798.000000
0.350877,0.137500,13,37.050000,1596.000000
0.353383,0.135000,11,31.127660,-798.000000
0.355890,0.130000,5,14.049296,-2394.000000
0.358396,0.132500,7,19.531469,798.000000
0.360902,0.127500,5,13.854167,-798.000000
0.363409,0.135000,9,24.765517,1596.000000
0.365915,0.135000,9,24.595890,0.000000
0.368421,0.137500,11,29.857143,798.000000
0.370927,0.142500,13,35.047297,798.000000
0.373434,0.145000,15,40.167785,798.000000
0.375940,0.142500,13,34.580000,-798.000000
0.378446,0.147500,13,34.350993,0.000000
0.380952,0.152500,17,44.625000,1596.000000
0.383459,0.150000,15,39.117647,-798.000000
0.385965,0.155000,17,44.045455,798.000000
0.388471,0.150000,13,33.464516,-1596.000000
0.390977,0.152500,15,38.365385,798.000000
0.393484,0.155000,15,38.121019,0.000000
0.395990,0.155000,15,37.879747,0.000000
0.398496,0.147500,7,17.566038,-3192.000000
0.401003,0.147500,7,17.456250,0.000000
0.403509,0.155000,11,27.260870,1596.000000
0.406015,0.150000,7,17.240741,-1596.000000
0.408521,0.157500,13,31.822086,2394.000000
0.411028,0.160000,13,31.628049,0.000000
0.413534,0.155000,9,21.763636,-1596.000000
0.416040,0.157500,11,26.439759,798.000000
0.418546,0.162500,13,31.059880,798.000000
0.421053,0.160000,9,21.375000,-1596.000000
0.423559,0.162500,11,25.970414,798.000000
0.426065,0.165000,11,25.817647,0.000000
0.428571,0.160000,7,16.333333,-1596.000000
0.431078,0.162500,9,20.877907,798.000000
0.433584,0.170000,13,29.982659,1596.000000
0.436090,0.177500,19,43.568966,2394.000000
0.438596,0.177500,19,43.320000,0.000000
0.441103,0.175000,15,34.005682,-1596.000000
0.443609,0.170000,11,24.796610,-1596.000000
0.446115,0.167500,7,15.691011,-1596.000000
0.448622,0.175000,11,24.519553,1596.000000
0.451128,0.175000,11,24.383333,0.000000
0.453634,0.180000,15,33.066298,1596.000000
0.456140,0.175000,7,15.346154,-3192.000000
0.458647,0.177500,9,19.622951,798.000000
0.461153,0.175000,7,15.179348,-798.000000
0.463659,0.180000,11,23.724324,1596.000000
0.466165,0.180000,9,19.306452,-798.000000
0.468672,0.177500,7,14.935829,-798.000000
0.471178,0.177500,7,14.856383,0.000000
0.473684,0.187500,13,27.444444,2394.000000
0.476190,0.190000,15,31.500000,798.000000
0.478697,0.187500,13,27.157068,-798.000000
0.481203,0.190000,13,27.015625,0.000000
0.483709,0.185000,9,18.606218,-1596.000000
0.486216,0.190000,11,22.623711,798.000000
0.488722,0.197500,15,30.692308,1596.000000
0.491228,0.200000,15,30.535714,0.000000
0.493734,0.200000,15,30.380711,0.000000
0.496241,0.197500,11,22.166667,-1596.000000
0.498747,0.195000,9,18.045226,-798.000000
0.501253,0.197500,11,21.945000,798.000000
0.503759,0.197500,11,21.835821,0.000000
0.506266,0.210000,21,41.480198,3990.000000
0.508772,0.202500,15,29.482759,-2394.000000
0.511278,0.202500,13,25.426471,-798.000000
0.513784,0.202500,13,25.302439,0.000000
0.516291,0.205000,15,29.053398,798.000000
0.518797,0.207500,17,32.768116,798.000000
0.521303,0.207500,15,28.774038,-798.000000
0.523810,0.212500,15,28.636364,0.000000
0.526316,0.210000,13,24.700000,-798.000000
0.528822,0.212500,13,24.582938,0.000000
0.531328,0.215000,13,24.466981,0.000000
0.533835,0.222500,19,35.591549,2394.000000
0.536341,0.225000,19,35.425234,0.000000
0.538847,0.222500,17,31.548837,-798.000000
0.541353,0.217500,15,27.708333,-798.000000
0.543860,0.217500,13,23.903226,-798.000000
0.546366,0.215000,11,20.133028,-798.000000
0.548872,0.212500,9,16.397260,-798.000000
0.551378,0.220000,13,23.577273,1596.000000
0.553885,0.220000,11,19.859729,-798.000000
0.556391,0.225000,15,26.959459,1596.000000
0.558897,0.230000,13,23.260090,-798.000000
0.561404,0.232500,15,26.718750,798.000000
0.563910,0.227500,11,19.506667,-1596.000000
0.566416,0.230000,11,19.420354,0.000000
0.568922,0.232500,13,22.850220,798.000000
0.571429,0.235000,15,26.250000,798.000000
0.573935,0.237500,17,29.620087,798.000000
0.576441,0.232500,13,22.552174,-1596.000000
0.578947,0.245000,23,39.727273,3990.000000
0.581454,0.240000,19,32.676724,-1596.000000
0.583960,0.240000,15,25.686695,-1596.000000
0.586466,0.250000,21,35.807692,2394.000000
0.588972,0.247500,19,32.259574,-798.000000
0.591479,0.255000,21,35.504237,798.000000
0.593985,0.245000,13,21.886076,-3192.000000
0.596491,0.240000,9,15.088235,-1596.000000
0.598997,0.250000,15,25.041841,2394.000000
0.601504,0.250000,15,24.937500,0.000000
0.604010,0.260000,23,38.078838,3192.000000
0.606516,0.262500,23,37.921488,0.000000
0.609023,0.257500,19,31.197531,-1596.000000
0.611529,0.265000,21,34.340164,798.000000
0.614035,0.265000,21,34.200000,0.000000
0.616541,0.257500,15,24.329268,-2394.000000
0.619048,0.265000,21,33.923077,2394.000000
0.621554,0.270000,21,33.786290,0.000000
0.624060,0.275000,25,40.060241,1596.000000
0.626566,0.272500,23,36.708000,-798.000000
0.629073,0.262500,15,23.844622,-3192.000000
0.631579,0.270000,19,30.083333,1596.000000
0.634085,0.272500,19,29.964427,0.000000
0.636591,0.275000,19,29.846457,0.000000
0.639098,0.277500,19,29.729412,0.000000
0.641604,0.277500,19,29.613281,0.000000
0.644110,0.277500,19,29.498054,0.000000
0.646617,0.282500,21,32.476744,798.000000
0.649123,0.277500,17,26.189189,-1596.000000
0.651629,0.275000,15,23.019231,-798.000000
0.654135,0.282500,19,29.045977,1596.000000
0.656642,0.290000,21,31.980916,798.000000
0.659148,0.295000,25,37.927757,1596.000000
0.661654,0.285000,17,25.693182,-3192.000000
0.664160,0.285000,15,22.584906,-798.000000
0.666667,0.285000,15,22.500000,0.000000
0.669173,0.290000,17,25.404494,798.000000
0.671679,0.300000,25,37.220149,3192.000000
0.674185,0.297500,21,31.148699,-1596.000000
0.676692,0.302500,21,31.033333,0.000000
0.679198,0.305000,21,30.918819,0.000000
0.681704,0.302500,23,33.738971,798.000000
0.684211,0.302500,21,30.692308,-798.000000
0.686717,0.302500,21,30.580292,0.000000
0.689223,0.310000,23,33.370909,798.000000
0.691729,0.307500,19,27.467391,-1596.000000
0.694236,0.307500,17,24.487365,-798.000000
0.696742,0.307500,17,24.399281,0.000000
0.699248,0.312500,21,30.032258,1596.000000
0.701754,0.317500,21,29.925000,0.000000
0.704261,0.325000,27,38.338078,2394.000000
0.706767,0.322500,25,35.372340,-798.000000
0.709273,0.322500,21,29.607774,-1596.000000
0.711779,0.315000,15,21.073944,-2394.000000
0.714286,0.327500,23,32.200000,3192.000000
0.716792,0.327500,23,32.087413,0.000000
0.719298,0.325000,21,29.195122,-798.000000
0.721805,0.322500,17,23.552083,-1596.000000
0.724311,0.330000,23,31.754325,2394.000000
0.726817,0.332500,21,28.893103,-798.000000
0.729323,0.330000,21,28.793814,0.000000
0.731830,0.332500,21,28.695205,0.000000
0.734336,0.330000,19,25.873720,-798.000000
0.736842,0.337500,23,31.214286,1596.000000
0.739348,0.342500,25,33.813559,798.000000
0.741855,0.347500,27,36.395270,798.000000
0.744361,0.355000,33,44.333333,2394.000000
0.746867,0.355000,33,44.184564,0.000000
0.749373,0.350000,27,36.030100,-2394.000000
0.751880,0.350000,27,35.910000,0.000000
0.754386,0.350000,27,35.790698,0.000000
0.756892,0.352500,27,35.672185,0.000000
0.759398,0.352500,23,30.287129,-1596.000000
0.761905,0.355000,21,27.562500,-798.000000
0.764411,0.360000,25,32.704918,1596.000000
0.766917,0.360000,25,32.598039,0.000000
0.769424,0.360000,25,32.491857,0.000000
0.771930,0.365000,27,34.977273,798.000000
0.774436,0.367500,23,29.699029,-1596.000000
0.776942,0.362500,21,27.029032,-798.000000
0.779449,0.372500,25,32.073955,1596.000000
0.781955,0.375000,25,31.971154,0.000000
0.784461,0.375000,25,31.869010,0.000000
0.786967,0.372500,25,31.767516,0.000000
0.789474,0.382500,31,39.266667,2394.000000
0.791980,0.367500,19,23.990506,-4788.000000
0.794486,0.372500,21,26.432177,798.000000
0.796992,0.380000,25,31.367925,1596.000000
0.799499,0.390000,31,38.774295,2394.000000
0.802005,0.392500,31,38.653125,0.000000
0.804511,0.400000,33,41.018692,798.000000
0.807018,0.397500,33,40.891304,0.000000
0.809524,0.392500,29,35.823529,-1596.000000
0.812030,0.390000,25,30.787037,-1596.000000
0.814536,0.390000,25,30.692308,0.000000
0.817043,0.400000,27,33.046012,798.000000
0.819549,0.410000,31,37.825688,1596.000000
0.822055,0.402500,27,32.844512,-1596.000000
0.824561,0.412500,29,35.170213,798.000000
0.827068,0.415000,33,39.900000,1596.000000
0.829574,0.420000,37,44.601208,1596.000000
0.832080,0.410000,27,32.448795,-3990.000000
0.834586,0.417500,29,34.747748,798.000000
0.837093,0.425000,31,37.032934,798.000000
0.839599,0.422500,31,36.922388,0.000000
0.842105,0.417500,25,29.687500,-2394.000000
0.844612,0.422500,29,34.335312,1596.000000
0.847118,0.430000,33,38.955621,1596.000000
0.849624,0.442500,39,45.902655,2394.000000
0.852130,0.445000,35,41.073529,-1596.000000
0.854637,0.432500,29,33.932551,-2394.000000
0.857143,0.442500,39,45.500000,3990.000000
0.859649,0.447500,39,45.367347,0.000000
0.862155,0.450000,35,40.595930,-1596.000000
0.864662,0.447500,35,40.478261,0.000000
0.867168,0.460000,43,49.586705,3192.000000
0.869674,0.457500,41,47.144092,-798.000000
0.872180,0.450000,33,37.836207,-3192.000000
0.874687,0.447500,29,33.154728,-1596.000000
0.877193,0.460000,35,39.900000,2394.000000
0.879699,0.462500,37,42.059829,798.000000
0.882206,0.470000,37,41.940341,0.000000
0.884712,0.467500,33,37.300283,-1596.000000
0.887218,0.472500,37,41.703390,1596.000000
0.889724,0.472500,33,37.090141,-1596.000000
0.892231,0.472500,35,39.227528,798.000000
0.894737,0.480000,39,43.588235,1596.000000
0.897243,0.490000,43,47.924581,1596.000000
0.899749,0.485000,39,43.345404,-1596.000000
