K,n_tongues,total_locked,entropy,efficiency,herfindahl,inv_herfindahl,gini_complement
0.0,0,0,0.0,nan,1.0,1.0,1.0
0.002506265664160401,0,0,0.0,nan,1.0,1.0,1.0
0.005012531328320802,0,0,0.0,nan,1.0,1.0,1.0
0.007518796992481203,0,0,0.0,nan,1.0,1.0,1.0
0.010025062656641603,0,0,0.0,0.0,1.0,1.0,1.0
0.012531328320802004,0,0,0.0,0.0,1.0,1.0,1.0
0.015037593984962405,0,0,0.0,0.0,1.0,1.0,1.0
0.017543859649122806,2,0.0075,0.6931471805599453,114.0,0.5,2.0,1.0
0.020050125313283207,2,0.0075,0.6931471805599453,99.75,0.5,2.0,1.0
0.022556390977443608,2,0.0075,0.6931471805599453,88.66666666666667,0.5,2.0,1.0
0.02506265664160401,2,0.01,0.6931471805599453,79.80000000000001,0.5,2.0,1.0
0.02756892230576441,2,0.01,0.6931471805599453,72.54545454545455,0.5,2.0,1.0
0.03007518796992481,2,0.01,0.6931471805599453,66.5,0.5,2.0,1.0
0.03258145363408521,2,0.0125,0.6931471805599453,61.38461538461539,0.5,2.0,0.9999999999999998
0.03508771929824561,2,0.0125,0.6931471805599453,57.0,0.5,2.0,0.9999999999999998
0.03759398496240601,2,0.0125,0.6931471805599453,53.2,0.5,2.0,0.9999999999999998
0.040100250626566414,2,0.015,0.6931471805599453,49.875,0.5,2.0,1.0
0.042606516290726815,2,0.015,0.6931471805599453,46.94117647058824,0.5,2.0,1.0
0.045112781954887216,2,0.015,0.6931471805599453,44.333333333333336,0.5,2.0,1.0
0.047619047619047616,2,0.0175,0.6931471805599453,42.0,0.5,2.0,1.0
0.05012531328320802,2,0.0175,0.6931471805599453,39.900000000000006,0.5,2.0,1.0
0.05263157894736842,2,0.0175,0.6931471805599453,38.0,0.5,2.0,1.0
0.05513784461152882,2,0.02,0.6931471805599453,36.27272727272727,0.5,2.0,1.0
0.05764411027568922,2,0.02,0.6931471805599453,34.69565217391305,0.5,2.0,1.0
0.06015037593984962,2,0.02,0.6931471805599453,33.25,0.5,2.0,1.0
0.06265664160401002,2,0.02,0.6931471805599453,31.92,0.5,2.0,1.0
0.06516290726817042,2,0.0225,0.6931471805599453,30.692307692307693,0.5,2.0,0.9999999999999998
0.06766917293233082,2,0.0225,0.6931471805599453,29.555555555555557,0.5,2.0,0.9999999999999998
0.07017543859649122,2,0.0225,0.6931471805599453,28.5,0.5,2.0,0.9999999999999998
0.07268170426065163,2,0.025,0.6931471805599453,27.517241379310345,0.5,2.0,0.9999999999999998
0.07518796992481203,2,0.025,0.6931471805599453,26.6,0.5,2.0,0.9999999999999998
0.07769423558897243,2,0.025,0.6931471805599453,25.741935483870968,0.5,2.0,0.9999999999999998
0.08020050125313283,2,0.0275,0.6931471805599453,24.9375,0.5,2.0,1.0
0.08270676691729323,2,0.0275,0.6931471805599453,24.181818181818183,0.5,2.0,1.0
0.08521303258145363,2,0.0275,0.6931471805599453,23.47058823529412,0.5,2.0,1.0
0.08771929824561403,2,0.03,0.6931471805599453,22.8,0.5,2.0,1.0
0.09022556390977443,2,0.03,0.6931471805599453,22.166666666666668,0.5,2.0,1.0
0.09273182957393483,2,0.03,0.6931471805599453,21.56756756756757,0.5,2.0,1.0
0.09523809523809523,2,0.0325,0.6931471805599453,21.0,0.5,2.0,1.0
0.09774436090225563,2,0.0325,0.6931471805599453,20.461538461538463,0.5,2.0,1.0
0.10025062656641603,2,0.0325,0.6931471805599453,19.950000000000003,0.5,2.0,1.0
0.10275689223057644,2,0.035,0.6931471805599453,19.463414634146343,0.5,2.0,1.0
0.10526315789473684,2,0.035,0.6931471805599453,19.0,0.5,2.0,1.0
0.10776942355889724,2,0.035,0.6931471805599453,18.558139534883722,0.5,2.0,1.0
