K,f_locked,phi_simple,phi_entropy
0.398496,0.147500,0.125744,0.061706
0.401003,0.147500,0.125744,0.061706
0.403509,0.155000,0.130975,0.066849
0.406015,0.150000,0.127500,0.063406
0.408521,0.157500,0.132694,0.068591
0.411028,0.160000,0.134400,0.070347
0.413534,0.155000,0.130975,0.066849
0.416040,0.157500,0.132694,0.068591
0.418546,0.162500,0.136094,0.072116
0.421053,0.160000,0.134400,0.070347
0.423559,0.162500,0.136094,0.072116
0.426065,0.165000,0.137775,0.073898
0.428571,0.160000,0.134400,0.070347
0.431078,0.162500,0.136094,0.072116
0.433584,0.170000,0.141100,0.077501
0.436090,0.177500,0.145994,0.082996
0.438596,0.177500,0.145994,0.082996
0.441103,0.175000,0.144375,0.081152
0.443609,0.170000,0.141100,0.077501
0.446115,0.167500,0.139444,0.075693
0.448622,0.175000,0.144375,0.081152
0.451128,0.175000,0.144375,0.081152
0.453634,0.180000,0.147600,0.084851
0.456140,0.175000,0.144375,0.081152
0.458647,0.177500,0.145994,0.082996
0.461153,0.175000,0.144375,0.081152
0.463659,0.180000,0.147600,0.084851
0.466165,0.180000,0.147600,0.084851
0.468672,0.177500,0.145994,0.082996
0.471178,0.177500,0.145994,0.082996
0.473684,0.187500,0.152344,0.090483
0.476190,0.190000,0.153900,0.092382
0.478697,0.187500,0.152344,0.090483
0.481203,0.190000,0.153900,0.092382
0.483709,0.185000,0.150775,0.088595
0.486216,0.190000,0.153900,0.092382
0.488722,0.197500,0.158494,0.098141
0.491228,0.200000,0.160000,0.100080
0.493734,0.200000,0.160000,0.100080
0.496241,0.197500,0.158494,0.098141
0.498747,0.195000,0.156975,0.096212
0.501253,0.197500,0.158494,0.098141
0.503759,0.197500,0.158494,0.098141
0.506266,0.210000,0.165900,0.107931
0.508772,0.202500,0.161494,0.102029
0.511278,0.202500,0.161494,0.102029
0.513784,0.202500,0.161494,0.102029
0.516291,0.205000,0.162975,0.103988
0.518797,0.207500,0.164444,0.105955
0.521303,0.207500,0.164444,0.105955
0.523810,0.212500,0.167344,0.109916
0.526316,0.210000,0.165900,0.107931
0.528822,0.212500,0.167344,0.109916
0.531328,0.215000,0.168775,0.111909
0.533835,0.222500,0.172994,0.117937
0.536341,0.225000,0.174375,0.119962
0.538847,0.222500,0.172994,0.117937
0.541353,0.217500,0.170194,0.113910
