Omega,rho
0.159580,0.154935
0.160080,0.155475
0.160580,0.155983
0.161081,0.156503
0.161581,0.157023
0.162081,0.157536
0.162581,0.158054
0.163082,0.158575
0.163582,0.159079
0.164082,0.159621
0.164582,0.160103
0.165083,0.160670
0.165583,0.161128
0.166083,0.161714
0.166583,0.162157
0.167084,0.162747
0.167584,0.163193
0.168084,0.163771
0.168584,0.164235
0.169085,0.164791
0.169585,0.165283
0.170085,0.165809
0.170585,0.166331
0.171086,0.166828
0.171586,0.167373
0.172086,0.167851
0.172586,0.168407
0.173087,0.168880
0.173587,0.169434
0.174087,0.169914
0.174587,0.170458
0.175088,0.170952
0.175588,0.171481
0.176088,0.171991
0.176588,0.172506
0.177089,0.173024
0.177589,0.173534
0.178089,0.174051
0.178589,0.174566
0.179090,0.175074
0.179590,0.175603
0.180090,0.176094
0.180590,0.176642
0.181091,0.177114
0.181591,0.177681
0.182091,0.178137
0.182591,0.178716
0.183092,0.179162
0.183592,0.179744
0.184092,0.180192
0.184592,0.180766
0.185093,0.181226
0.185593,0.181784
0.186093,0.182264
0.186593,0.182800
0.187094,0.183303
0.187594,0.183817
0.188094,0.184342
0.188594,0.184834
0.189095,0.185376
0.189595,0.185855
0.190095,0.186404
0.190595,0.186878
0.191096,0.187427
0.191596,0.187906
0.192096,0.188448
0.192596,0.188936
0.193097,0.189468
0.193597,0.189968
0.194097,0.190489
0.194597,0.190999
0.195098,0.191510
0.195598,0.192027
0.196098,0.192534
0.196598,0.193050
0.197099,0.193560
0.197599,0.194069
0.198099,0.194589
0.198599,0.195087
0.199100,0.195620
0.199600,0.196104
0.200100,0.196653
0.200600,0.197122
0.201101,0.197684
0.201601,0.198141
0.202101,0.198713
0.202601,0.199163
0.203102,0.199737
0.203602,0.200186
0.204102,0.200757
0.204602,0.201213
0.205103,0.201774
0.205603,0.202242
0.206103,0.202789
0.206603,0.203273
0.207104,0.203803
0.207604,0.204305
0.208104,0.204818
0.208604,0.205337
0.209105,0.205833
0.209605,0.206365
0.210105,0.206850
0.210605,0.207390
0.211106,0.207869
0.211606,0.208412
0.212106,0.208889
0.212606,0.209431
0.213107,0.209913
0.213607,0.210449
0.214107,0.210937
0.214607,0.211466
0.215108,0.211963
0.215608,0.212483
0.216108,0.212989
0.216608,0.213501
0.217109,0.214013
0.217609,0.214520
0.218109,0.215035
0.218609,0.215540
0.219110,0.216054
0.219610,0.216562
0.220110,0.217070
0.220610,0.217585
0.221111,0.218085
0.221611,0.218610
0.222111,0.219100
0.222611,0.219636
0.223112,0.220115
0.223612,0.220662
0.224112,0.221130
0.224612,0.221688
0.225113,0.222147
0.225613,0.222711
0.226113,0.223164
0.226613,0.223732
0.227114,0.224184
0.227614,0.224750
0.228114,0.225204
0.228614,0.225765
0.229115,0.226227
0.229615,0.226779
0.230115,0.227251
0.230615,0.227792
0.231116,0.228276
0.231616,0.228805
0.232116,0.229302
0.232616,0.229817
0.233117,0.230328
0.233617,0.230830
0.234117,0.231352
0.234617,0.231844
0.235118,0.232374
0.235618,0.232859
0.236118,0.233394
0.236618,0.233875
0.237119,0.234412
0.237619,0.234892
0.238119,0.235429
0.238619,0.235911
0.239120,0.236444
0.239620,0.236931
0.240120,0.237459
0.240620,0.237951
0.241121,0.238473
0.241621,0.238972
0.242121,0.239488
0.242621,0.239993
0.243122,0.240502
0.243622,0.241013
0.244122,0.241518
0.244622,0.242031
0.245123,0.242535
0.245623,0.243048
0.246123,0.243552
0.246623,0.244063
0.247124,0.244570
0.247624,0.245076
0.248124,0.245589
0.248624,0.246089
0.249125,0.246610
0.249625,0.247102
0.250125,0.247631
0.250625,0.248114
0.251126,0.248652
0.251626,0.249127
0.252126,0.249673
0.252626,0.250143
0.253127,0.250693
0.253627,0.251153
0.254127,0.251711
0.254627,0.252168
0.255128,0.252728
0.255628,0.253184
0.256128,0.253744
0.256628,0.254201
0.257129,0.254758
0.257629,0.255219
0.258129,0.255771
0.258629,0.256237
0.259130,0.256783
0.259630,0.257257
0.260130,0.257794
0.260630,0.258277
0.261131,0.258805
0.261631,0.259298
0.262131,0.259816
0.262631,0.260319
0.263132,0.260827
0.263632,0.261339
0.264132,0.261839
0.264632,0.262359
0.265133,0.262850
0.265633,0.263377
0.266133,0.263863
0.266633,0.264393
0.267134,0.264876
0.267634,0.265409
0.268134,0.265891
0.268634,0.266423
0.269135,0.266906
0.269635,0.267436
0.270135,0.267921
0.270635,0.268448
0.271136,0.268937
0.271636,0.269461
0.272136,0.269954
0.272636,0.270473
0.273137,0.270971
0.273637,0.271485
0.274137,0.271988
0.274637,0.272498
0.275138,0.273005
0.275638,0.273510
0.276138,0.274021
0.276638,0.274524
0.277139,0.275036
0.277639,0.275537
0.278139,0.276050
0.278639,0.276552
0.279140,0.277063
0.279640,0.277567
0.280140,0.278074
0.280640,0.278582
0.281141,0.279086
0.281641,0.279598
0.282141,0.280096
0.282641,0.280615
0.283142,0.281107
0.283642,0.281632
0.284142,0.282117
0.284642,0.282649
0.285143,0.283128
0.285643,0.283666
0.286143,0.284139
0.286643,0.284683
0.287144,0.285151
0.287644,0.285700
0.288144,0.286162
0.288644,0.286715
0.289145,0.287175
0.289645,0.287730
0.290145,0.288187
0.290645,0.288743
0.291146,0.289201
0.291646,0.289755
0.292146,0.290215
0.292646,0.290766
0.293147,0.291230
0.293647,0.291777
0.294147,0.292246
0.294647,0.292787
0.295148,0.293262
0.295648,0.293796
0.296148,0.294278
0.296648,0.294806
0.297149,0.295295
0.297649,0.295816
0.298149,0.296312
0.298649,0.296825
0.299150,0.297329
0.299650,0.297835
0.300150,0.298345
0.300650,0.298845
0.301151,0.299361
0.301651,0.299855
0.302151,0.300376
0.302651,0.300866
0.303152,0.301391
0.303652,0.301877
0.304152,0.302404
0.304652,0.302889
0.305153,0.303416
0.305653,0.303901
0.306153,0.304428
0.306653,0.304914
0.307154,0.305439
0.307654,0.305927
0.308154,0.306449
0.308654,0.306940
0.309155,0.307460
0.309655,0.307954
0.310155,0.308471
0.310655,0.308968
0.311156,0.309481
0.311656,0.309982
0.312156,0.310492
0.312656,0.310996
0.313157,0.311502
0.313657,0.312010
0.314157,0.312513
0.314657,0.313024
0.315158,0.313524
0.315658,0.314037
0.316158,0.314536
0.316658,0.315049
0.317159,0.315548
0.317659,0.316060
0.318159,0.316560
0.318659,0.317071
0.319160,0.317573
0.319660,0.318080
0.320160,0.318586
0.320660,0.319090
0.321161,0.319600
0.321661,0.320099
0.322161,0.320614
0.322661,0.321108
0.323162,0.321629
0.323662,0.322117
0.324162,0.322643
0.324662,0.323127
0.325163,0.323657
0.325663,0.324136
0.326163,0.324672
0.326663,0.325146
0.327164,0.325687
0.327664,0.326156
0.328164,0.326702
0.328664,0.327167
0.329165,0.327717
0.329665,0.328177
0.330165,0.328732
0.330665,0.329189
0.331166,0.329746
0.331666,0.330204
0.332166,0.330759
0.332666,0.331225
0.333167,0.331770
0.333667,0.332269
0.334167,0.332813
0.334667,0.333329
0.335168,0.333652
0.335668,0.334210
0.336168,0.334757
0.336668,0.335231
0.337169,0.335783
0.337669,0.336248
0.338169,0.336796
0.338669,0.337266
0.339170,0.337805
0.339670,0.338283
0.340170,0.338814
0.340670,0.339300
0.341171,0.339822
0.341671,0.340316
0.342171,0.340831
0.342671,0.341331
0.343172,0.341840
0.343672,0.342345
0.344172,0.342849
0.344672,0.343359
0.345173,0.343858
0.345673,0.344372
0.346173,0.344868
0.346673,0.345385
0.347174,0.345878
0.347674,0.346397
0.348174,0.346888
0.348674,0.347408
0.349175,0.347897
0.349675,0.348420
0.350175,0.348907
0.350675,0.349430
0.351176,0.349918
0.351676,0.350440
0.352176,0.350928
0.352676,0.351450
0.353177,0.351940
0.353677,0.352459
0.354177,0.352951
0.354677,0.353468
0.355178,0.353963
0.355678,0.354477
0.356178,0.354975
0.356678,0.355486
0.357179,0.355988
0.357679,0.356495
0.358179,0.357000
0.358679,0.357504
0.359180,0.358012
0.359680,0.358514
0.360180,0.359023
0.360680,0.359524
0.361181,0.360034
0.361681,0.360534
0.362181,0.361045
0.362681,0.361544
0.363182,0.362055
0.363682,0.362554
0.364182,0.363065
0.364682,0.363565
0.365183,0.364075
0.365683,0.364575
0.366183,0.365084
0.366683,0.365586
0.367184,0.366092
0.367684,0.366597
0.368184,0.367101
0.368684,0.367608
0.369185,0.368109
0.369685,0.368620
0.370185,0.369116
0.370685,0.369632
0.371186,0.370124
0.371686,0.370644
0.372186,0.371132
0.372686,0.371656
0.373187,0.372140
0.373687,0.372669
0.374187,0.373148
0.374687,0.373681
0.375188,0.374156
0.375688,0.374693
0.376188,0.375165
0.376688,0.375705
0.377189,0.376174
0.377689,0.376717
0.378189,0.377183
0.378689,0.377728
0.379190,0.378192
0.379690,0.378739
0.380190,0.379202
0.380690,0.379749
0.381191,0.380212
0.381691,0.380758
0.382191,0.381222
0.382691,0.381767
0.383192,0.382232
0.383692,0.382776
0.384192,0.383243
0.384692,0.383785
0.385193,0.384254
0.385693,0.384793
0.386193,0.385265
0.386693,0.385800
0.387194,0.386276
0.387694,0.386808
0.388194,0.387288
0.388694,0.387816
0.389195,0.388300
0.389695,0.388823
0.390195,0.389313
0.390695,0.389831
0.391196,0.390325
0.391696,0.390838
0.392196,0.391337
0.392696,0.391846
0.393197,0.392350
0.393697,0.392854
0.394197,0.393362
0.394697,0.393863
0.395198,0.394373
0.395698,0.394871
0.396198,0.395385
0.396698,0.395880
0.397199,0.396396
0.397699,0.396889
0.398199,0.397406
0.398699,0.397897
0.399200,0.398416
0.399700,0.398906
0.400200,0.399426
0.400700,0.399914
0.401201,0.400435
0.401701,0.400925
0.402201,0.401444
0.402701,0.401935
0.403202,0.402452
0.403702,0.402944
0.404202,0.403461
0.404702,0.403954
0.405203,0.404469
0.405703,0.404965
0.406203,0.405477
0.406703,0.405975
0.407204,0.406485
0.407704,0.406986
0.408204,0.407493
0.408704,0.407997
0.409205,0.408502
0.409705,0.409008
0.410205,0.409510
0.410705,0.410019
0.411206,0.410519
0.411706,0.411029
0.412206,0.411528
0.412706,0.412040
0.413207,0.412537
0.413707,0.413050
0.414207,0.413547
0.414707,0.414059
0.415208,0.414556
0.415708,0.415068
0.416208,0.415566
0.416708,0.416077
0.417209,0.416575
0.417709,0.417086
0.418209,0.417585
0.418709,0.418094
0.419210,0.418595
0.419710,0.419101
0.420210,0.419605
0.420710,0.420109
0.421211,0.420615
0.421711,0.421116
0.422211,0.421626
0.422711,0.422123
0.423212,0.422637
0.423712,0.423130
0.424212,0.423648
0.424712,0.424138
0.425213,0.424659
0.425713,0.425145
0.426213,0.425670
0.426713,0.426152
0.427214,0.426682
0.427714,0.427160
0.428214,0.427694
0.428714,0.428168
0.429215,0.428705
0.429715,0.429177
0.430215,0.429716
0.430715,0.430185
0.431216,0.430727
0.431716,0.431194
0.432216,0.431738
0.432716,0.432204
